item_name,total_revenue,revenue_rank,dense_rank,row_number
Google Emoji Magnet Set,322.0,185,174,186
Google Mural Notebook,318.0,187,175,187
YouTube Transmission Journal Red,316.0,188,176,188
Google Kirkland Campus Unisex Tee,312.0,189,177,190
Google Sunnyvale Campus Ladies Tee,312.0,189,177,189
Android Iconic Socks,306.0,191,178,191
Google 24oz Ring Bottle Blue,275.0,192,179,192
Android Iconic Hat Black,275.0,192,179,193
Google Lapel Pin,272.0,194,180,194
Google Boulder Campus Unisex Tee,270.0,195,181,195
Stan and Friends Youth Tee Green,270.0,195,181,196
Google LoveHandle Black,266.0,197,182,197
Google Sunnyvale Campus Unisex Tee,264.0,198,183,198
Android Pocket Youth Tee Navy,260.0,199,184,200
#IamRemarkable Journal,260.0,199,184,201
Google SF Campus Ladies Tee,260.0,199,184,199
Google PNW Campus Unisex Tee,256.0,202,185,203
Google Beekeepers Toddler Tee Pink,256.0,202,185,202
Google Sustainable Pencil Pouch,254.0,204,186,204
Google Boulder Campus Mug,253.0,205,187,205
Supernatural Paper Lunch Sack,252.0,206,188,207
Google Youth FC Zip Hoodie,252.0,206,188,206
Gift Card - $50.00,250.0,208,189,208
Google Campus Bike Grid Task Pad,246.0,209,190,209
Google Women's Discovery Lt. Rain Shell,245.0,210,191,210
Android Buoy Bottle,244.0,211,192,212
Google Emoji Sticker Pack,244.0,211,192,211
Google LA Campus Ladies Tee,240.0,213,193,213
Google Large Pet Leash (Red/Yellow),238.0,214,194,214
Google Phone Stand Bamboo,235.0,215,195,215
Android Iconic Beanie,234.0,216,196,216
Youth Jumbo Print Tee White,234.0,216,196,217
Google SF Campus Tote,230.0,218,197,218
Android SM S/F18 Sticker Sheet,230.0,218,197,219
Google Chicago Campus Unisex Tee,228.0,220,198,220
Google 16 oz Tumbler Blue,225.0,221,199,221
Google Shoreline Water Bottle,225.0,221,199,222
Google Men's Discovery Lt. Rain Shell,222.0,223,200,223
Android Iconic Glass Bottle Green,220.0,224,201,224
Android Pocket Youth Tee Green,220.0,224,201,225
Google SF Campus Unisex Tee,218.0,226,202,226
Google Tee Red,217.0,227,203,227
Google Laptop Sleeve Charcoal,208.0,228,204,228
Google Women's Pride Eco-Tee Black,207.0,229,205,229
Google Large Pet Leash (Blue/Green),203.0,230,206,230
Google Land & Sea Women's Eco Tee,200.0,231,207,231
Snowflake Android Cardboard Sculpture,200.0,231,207,232
Google Medium Pet Leash (Blue/Green),196.0,233,208,233
Google Cambridge Campus Unisex Tee,194.0,234,209,234
Google Mesh Bag Blue,189.0,235,210,235
YouTube Iconic Play Pin,188.0,236,211,236
Google 24 oz Ring Bottle Red,186.0,237,212,237
Google Chicago Campus Bottle,185.0,238,213,238
Google Beekeepers Youth Tee Pink,182.0,239,214,239
Google Cork Journal,179.0,240,215,240
Google Austin Campus Bottle,179.0,240,215,241
Google Color Block Notebook,178.0,242,216,242
Google Mural Tote,176.0,243,217,243
Google Clear Framed Blue Shades,174.0,244,218,245
Google Cork Pencil Pouch,174.0,244,218,244
Google Tee Grey,173.0,246,219,246
Google Light Pen Blue,172.0,247,220,247
Google Large Pet Collar (Blue/Green),168.0,248,221,248
Google Medium Pet Collar (Blue/Green),168.0,248,221,249
Google Recycled Writing Set,165.0,250,222,251
Google Blue Kids Sunglasses,165.0,250,222,250
Google Tee Green,164.0,252,223,253
Google Tee Blue,164.0,252,223,254
Android Large Trace Journal Black,164.0,252,223,252
Google Sunnyvale Campus Bottle,163.0,255,224,255
Google Totepak,162.0,256,225,256
Google Boulder Campus Ladies Tee,162.0,256,225,257
Google Confetti Task Pad,156.0,258,226,258
Google Campus Bike Carry Pouch,156.0,258,226,259
Google Pen White,153.0,260,227,260
Google Clear Framed Yellow Shades,153.0,260,227,261
YouTube Jotter Task Pad,152.0,262,228,262
Google Mural Sticker Sheet,150.0,263,229,263
Keyboard DOT Sticker,150.0,263,229,264
Google Maps Pin,149.0,265,230,265
Google Large Pet Collar (Red/Yellow),147.0,266,231,266
Google Confetti Accessory Pouch,146.0,267,232,268
Google Aluminum Bottle Red,146.0,267,232,267
Android Iconic Backpack,145.0,269,233,269
Google Light Pen Red,144.0,270,234,272
Google Clear Framed Gray Shades,144.0,270,234,271
Android Lumberjack Pin,144.0,270,234,270
Google Chicago Campus Ladies Tee,140.0,273,235,274
Google Austin Campus Ladies Tee,140.0,273,235,276
Google Kirkland Campus Ladies Tee,140.0,273,235,277
Google Women's Kirkland Pullover,140.0,273,235,273
Google Medium Pet Collar (Red/Yellow),140.0,273,235,275
Google NYC Campus Unisex Tee,140.0,273,235,278
Google Recycled Notebook Set Natural,138.0,279,236,280
Google Felt Strap Keyring,138.0,279,236,279
Google Chrome Dino Light Up Water Bottle,133.0,281,237,281
Google Kirkland Campus Mug,133.0,281,237,282
Google Felt Luggage Tag,130.0,283,238,283
Google Youth F/C Pullover Hoodie,128.0,284,239,284
Google Light Pen Green,128.0,284,239,285
Google Large White Gift Bag 5/PK,126.0,286,240,287
Google Women's Black Tee,126.0,286,240,286
Google LA Campus Bottle,124.0,288,241,288
Google Cork Key Ring,119.0,289,242,289
Android Puzzlebot v2,119.0,289,242,290
Google Confetti Slim Task Pad,118.0,291,243,292
Android Iconic Notebook,118.0,291,243,291
Google Mountain View Campus Unisex Tee,116.0,293,244,294
Google Austin Campus Tote,116.0,293,244,293
Google Red Kids Sunglasses,113.0,295,245,295
Google PNW Campus Bottle,110.0,296,246,299
#IamRemarkable Pen,110.0,296,246,296
Android Large Removable Sticker Sheet,110.0,296,246,297
Google Cork Tablet Case,110.0,296,246,298
Google Tee F/C Black,105.0,300,247,300
BLM Unisex Pullover Hoodie,104.0,301,248,302
Google Mouse Pad Navy,104.0,301,248,301
Google Austin Campus Unisex Tee,102.0,303,249,303
Google Cloud Pen,99.0,304,250,304
Google Recycled Pen Black,98.0,305,251,305
Google LA Campus Tote,94.0,306,252,306
Google Cambridge Campus Ladies Tee,92.0,307,253,308
Google PNW Campus Ladies Tee,92.0,307,253,307
Google Tee Mint Green,92.0,307,253,309
Google Seattle Campus Ladies Tee,84.0,310,254,310
Google NYC Campus Lapel Pin,82.0,311,255,312
Google Mini Kick Ball,82.0,311,255,311
Google Red YoYo,80.0,313,256,313
Android Small Trace Journal Black,79.0,314,257,314
Google Blue YoYo,79.0,314,257,316
Google Mesh Bag Red,79.0,314,257,315
Google Cambridge Campus Bottle,77.0,317,258,317
Google Land & Sea Tech Taco,75.0,318,259,318
Google Decal,73.0,319,260,319
Google Small White Gift Bag 5/PK,72.0,320,261,322
Google Tudes Thermal Bottle,72.0,320,261,320
Android Iconic Pin,72.0,320,261,321
Google Tonal Tee Coral,67.0,323,262,323
Google Pen Bright Blue,66.0,324,263,324
Stainless Straight Straw/Cleaner,61.0,325,264,325
Google Chicago Campus Tote,58.0,326,265,326
Google Yellow YoYo,57.0,327,266,327
Google Medium Pet Leash (Red/Yellow),56.0,328,267,328
YouTube Women's Favorite Tee White,56.0,328,267,329
Google Boulder Campus Bottle,55.0,330,268,330
Android Hipster Pin,52.0,331,269,331
Google Pen Citron,51.0,332,270,332
Google Pen Neon Coral,50.0,333,271,334
Google Pen Lilac,50.0,333,271,335
Google Pride Sticker,50.0,333,271,333
Maze Pen,49.0,336,272,336
Google Sunnyvale Campus Tote,48.0,337,273,337
Google SF Campus Lapel Pin,47.0,338,274,338
Google NYC Campus Sticker,46.0,339,275,339
#IamRemarkable Tote,46.0,339,275,340
Google Small Cable Organizer Blue,45.0,341,276,341
Google Pen Grey,44.0,342,277,342
Google Pen Grass Green,43.0,343,278,343
Google Tech Taco,41.0,344,279,344
Google PNW Campus Tote,40.0,345,280,345
Google LA Campus Sticker,40.0,345,280,346
Google Austin Campus Lapel Pin,39.0,347,281,347
